Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
27.0,4.9,Sandstorms,Low,0,Meal,motorcycle,0.0,No,Metropolitian,18,20002.51968445585
37.0,4.6,Sandstorms,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,40,20002.519684455106
21.0,4.7,Cloudy,Jam,1,Snack,scooter,1.0,No,Metropolitian,40,20002.519684455106
28.0,4.6,Sunny,Jam,2,Meal,scooter,1.0,No,Metropolitian,23,20002.519684455106
,,Sunny,Low,2,Buffet,electric_scooter,1.0,No,Metropolitian,15,20002.519684455106
35.0,4.9,Cloudy,Jam,0,Drinks,motorcycle,2.0,No,Metropolitian,43,20002.519684455106
39.0,4.8,Sandstorms,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,27,20002.519684455106
38.0,4.6,Windy,Medium,0,Meal,motorcycle,0.0,No,Metropolitian,49,20002.519684455106
,,,,3,Snack,motorcycle,1.0,Yes,Metropolitian,49,20002.519684455106
34.0,5.0,Sunny,Low,0,Snack,motorcycle,1.0,No,Metropolitian,23,20002.519684455106
32.0,3.8,Fog,Low,1,Snack,motorcycle,2.0,No,Metropolitian,39,20002.519684455106
31.0,4.8,Stormy,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,26,20002.519684455106
36.0,4.6,Windy,Jam,1,Snack,scooter,1.0,No,Metropolitian,25,20002.519684455106
35.0,4.7,Cloudy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,42,20002.519684455106
38.0,3.8,Cloudy,Low,2,Meal,motorcycle,2.0,No,Metropolitian,37,20002.519684455106
38.0,5.0,Stormy,Low,1,Meal,motorcycle,0.0,No,Metropolitian,29,20002.519684451123
28.0,4.9,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,27,20002.519684451123
,,Stormy,Medium,2,Drinks,motorcycle,1.0,No,,22,20002.519684451123
27.0,4.7,Windy,Low,1,Drinks,scooter,0.0,No,Metropolitian,16,20002.519684451123
29.0,4.8,Windy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,30,20002.519684451123
33.0,4.7,Sandstorms,Jam,2,Snack,motorcycle,0.0,No,,26,20002.519684451123
34.0,4.2,Sandstorms,High,0,Drinks,motorcycle,2.0,No,Metropolitian,37,20002.519684451123
35.0,4.5,Fog,Medium,2,Drinks,motorcycle,0.0,No,Urban,17,20002.519684451123
34.0,4.3,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,31,20002.519684451123
24.0,5.0,Fog,Jam,1,Snack,scooter,0.0,No,Metropolitian,27,20002.519684451123
39.0,4.3,Fog,Jam,1,Buffet,motorcycle,0.0,No,Metropolitian,40,20002.519684451123
31.0,4.7,Sunny,Medium,1,Snack,motorcycle,1.0,No,,26,20002.519684451123
27.0,4.5,Cloudy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,17,20002.519684451123
22.0,4.6,Sandstorms,Jam,1,Buffet,scooter,1.0,No,Urban,23,20002.519684447783
26.0,4.7,Stormy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,17,20002.519684447783
35.0,4.2,Sunny,Jam,1,Meal,scooter,0.0,No,Metropolitian,31,20002.519684447783
21.0,4.8,Stormy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,29,20002.519684447783
26.0,4.3,Cloudy,Jam,2,Meal,scooter,0.0,No,Metropolitian,34,20002.519684447783
25.0,4.6,Sandstorms,Medium,1,Drinks,scooter,1.0,No,Metropolitian,27,20002.519684447783
25.0,4.5,Sunny,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,26,20002.519684447783
28.0,4.2,Stormy,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,33,20002.519684447783
30.0,4.7,Sunny,Low,1,Meal,motorcycle,1.0,No,Urban,26,20002.519684447783
30.0,4.2,Fog,High,0,Snack,motorcycle,1.0,No,Metropolitian,32,20002.519684447783
26.0,4.8,Stormy,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,19,20002.519684442785
29.0,5.0,Fog,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,48,20002.519684442785
26.0,4.9,Cloudy,High,2,Drinks,electric_scooter,1.0,No,Metropolitian,23,20002.519684442785
23.0,4.1,Windy,High,0,Meal,motorcycle,1.0,No,Metropolitian,38,20002.519684442785
20.0,4.7,Cloudy,Low,1,Meal,scooter,0.0,No,Urban,20,20002.519684442785
,,Cloudy,Low,1,Drinks,motorcycle,0.0,No,,18,20002.519684442785
37.0,4.8,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,26,20002.519684442785
29.0,4.6,Fog,Jam,1,Meal,scooter,1.0,No,Metropolitian,30,20002.51968443479
25.0,4.9,Sunny,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,17,20002.51968443479
35.0,4.9,Cloudy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,20,20002.51968443479
35.0,4.6,Sunny,Jam,2,Drinks,scooter,1.0,No,Urban,16,20002.51968443479
23.0,4.8,Cloudy,High,0,Drinks,motorcycle,1.0,No,Urban,28,20002.51968443479
24.0,4.5,Windy,Medium,0,Drinks,motorcycle,1.0,No,,17,20002.51968443479
30.0,4.8,Cloudy,High,0,Meal,motorcycle,0.0,No,Metropolitian,30,20002.51968443479
26.0,4.7,Cloudy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,27,20002.51968443479
35.0,4.4,Stormy,Medium,2,Meal,scooter,0.0,No,Metropolitian,31,20002.51968443479
21.0,4.9,Fog,Low,1,Snack,scooter,1.0,No,Urban,27,20002.51968443479
24.0,5.0,Cloudy,Low,1,Buffet,scooter,0.0,No,Metropolitian,20,20002.519684426607
36.0,4.1,Windy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,33,20002.519684426607
26.0,5.0,Stormy,Low,2,Snack,scooter,0.0,No,Metropolitian,15,20002.519684426607
37.0,4.7,Sunny,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,27,20002.519684426607
35.0,4.8,Sunny,Low,2,Meal,electric_scooter,0.0,No,Metropolitian,10,20002.519684426607
32.0,4.6,Sunny,Medium,1,Buffet,scooter,1.0,No,Metropolitian,29,20002.519684426607
35.0,3.1,Sunny,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,31,20002.519684426607
25.0,4.8,Windy,Medium,2,Buffet,scooter,1.0,No,Metropolitian,28,20002.519684426607
20.0,4.5,Windy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,12,20002.519684426607
25.0,5.0,Sandstorms,Medium,2,Snack,scooter,1.0,No,Metropolitian,28,20002.519684426607
35.0,4.8,Sunny,Low,1,Buffet,motorcycle,1.0,No,Urban,15,20002.519684426607
39.0,4.6,Stormy,Jam,1,Drinks,motorcycle,1.0,No,,25,20002.519684426607
24.0,4.6,Fog,Low,0,Snack,motorcycle,0.0,No,Urban,23,20002.519684421593
30.0,4.0,Cloudy,High,2,Buffet,scooter,2.0,No,Metropolitian,36,20002.519684421593
33.0,4.6,Sandstorms,Low,2,Meal,scooter,1.0,No,Metropolitian,16,20002.519684421593
37.0,4.9,Fog,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,25,20002.519684421593
30.0,4.9,Windy,Low,1,Snack,motorcycle,1.0,No,Urban,27,20002.519684421593
21.0,4.7,Stormy,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,19,20002.519684421593
26.0,4.6,Fog,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,21,20002.519684421593
33.0,4.9,Fog,High,0,Drinks,motorcycle,0.0,No,Urban,27,20002.519684421593
21.0,4.5,Sandstorms,Low,0,Buffet,motorcycle,1.0,No,Urban,16,20002.519684421593
29.0,4.9,Sandstorms,Jam,2,Drinks,motorcycle,0.0,No,Metropolitian,21,20002.519684421593
,,Sandstorms,Jam,1,Meal,scooter,0.0,No,Urban,25,20002.519684421593
33.0,3.7,Fog,Low,1,Snack,motorcycle,1.0,No,Metropolitian,39,20002.519684421593
20.0,4.6,Fog,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,22,20002.519684421593
38.0,4.5,Sunny,Medium,2,Drinks,scooter,1.0,No,Urban,18,20002.519684421593
31.0,4.7,Windy,Low,2,Meal,scooter,1.0,No,Metropolitian,29,20002.51968438101
36.0,4.9,Windy,Low,2,Snack,scooter,0.0,No,Metropolitian,15,20002.51968438101
27.0,4.9,Cloudy,High,1,Meal,motorcycle,1.0,No,Metropolitian,34,20002.51968438101
32.0,4.8,Windy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,22,20002.51968438101
27.0,4.1,Fog,Jam,1,Meal,scooter,1.0,No,Metropolitian,44,20002.51968438101
39.0,4.6,Fog,Medium,1,Meal,motorcycle,1.0,No,Urban,19,20002.51968438101
31.0,4.6,Stormy,Low,2,Buffet,scooter,1.0,No,Metropolitian,26,20002.51968438101
35.0,4.9,Sandstorms,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,31,20002.51968438101
39.0,3.8,Windy,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,37,20002.51968438101
25.0,4.6,Stormy,Jam,2,Buffet,scooter,0.0,No,Metropolitian,16,20002.51968438101
32.0,4.8,Sunny,Low,1,Drinks,motorcycle,1.0,No,Urban,17,20002.51968438101
,,,,3,Buffet,scooter,0.0,No,,26,20002.51968438101
36.0,4.6,Fog,High,0,Drinks,motorcycle,1.0,No,Metropolitian,33,20002.51968438101
23.0,4.9,Windy,High,2,Buffet,scooter,1.0,No,Metropolitian,18,20002.519684375973
,,,,3,Buffet,motorcycle,1.0,No,Metropolitian,19,20002.519684375973
28.0,4.9,Windy,Low,1,Drinks,scooter,1.0,No,Urban,17,20002.519684375973
26.0,4.9,Sunny,Low,1,Drinks,scooter,1.0,No,Metropolitian,19,20002.519684375973
34.0,4.8,Sandstorms,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,27,20002.519684375973
32.0,4.9,Sunny,Low,1,Snack,scooter,0.0,No,Metropolitian,16,20002.519684375973
37.0,4.8,Windy,Medium,2,Drinks,motorcycle,1.0,No,Metropolitian,28,20002.519684375973
36.0,4.6,Windy,Low,1,Snack,motorcycle,1.0,No,Metropolitian,26,20002.519684375973
25.0,4.3,Sandstorms,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,32,20002.519684375973
35.0,4.9,Sunny,Low,1,Snack,scooter,1.0,No,Metropolitian,25,20002.519684375973
,,,,0,Meal,motorcycle,1.0,No,Metropolitian,45,20002.519684375973
20.0,5.0,Fog,Low,0,Meal,motorcycle,0.0,No,Urban,20,20002.519684375973
32.0,4.8,Sunny,Low,0,Meal,motorcycle,0.0,No,Metropolitian,28,20002.519684375973
27.0,5.0,Cloudy,High,1,Buffet,motorcycle,1.0,No,Metropolitian,33,20002.519684373434
37.0,4.9,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Urban,37,20002.519684373434
33.0,3.8,Sandstorms,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,38,20002.519684373434
36.0,4.9,Sandstorms,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,39,20002.519684373434
27.0,4.9,Fog,High,1,Meal,scooter,0.0,No,Metropolitian,27,20002.519684373434
33.0,4.2,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,22,20002.519684373434
,,,,3,Drinks,bicycle,0.0,No,Metropolitian,31,20002.519684373434
33.0,4.4,Windy,Jam,2,Drinks,scooter,0.0,No,Metropolitian,37,20002.519684373434
25.0,4.1,Windy,Low,0,Meal,motorcycle,0.0,No,Urban,23,20002.519684373434
15.0,1.0,,,3,Snack,electric_scooter,0.0,No,Metropolitian,30,20002.519684373434
36.0,4.7,Fog,Jam,0,Drinks,motorcycle,0.0,No,Urban,28,20002.519684373434
35.0,4.9,Windy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,37,20002.51967764345
23.0,4.2,Windy,Low,0,Meal,motorcycle,1.0,No,Urban,23,20002.51967764345
39.0,4.8,Sunny,Low,2,Drinks,scooter,0.0,No,Metropolitian,22,20002.51967764345
20.0,4.9,Sunny,Medium,0,Snack,motorcycle,1.0,No,Urban,24,20002.519677611992
35.0,4.9,Cloudy,Medium,1,Buffet,motorcycle,1.0,No,Urban,42,20002.519677611992
25.0,4.6,Cloudy,Low,1,Snack,scooter,0.0,No,Urban,19,20002.519677611992
28.0,4.6,Cloudy,Medium,1,Snack,scooter,2.0,No,Metropolitian,32,20002.51967760549
,,,,3,Buffet,scooter,0.0,No,Metropolitian,38,20002.51967760549
38.0,4.0,Windy,High,0,Buffet,motorcycle,2.0,No,Metropolitian,45,20002.51967760549
28.0,4.8,Fog,Jam,1,Drinks,scooter,1.0,No,Metropolitian,20,20002.51967760549
29.0,4.9,Sunny,Low,1,Drinks,motorcycle,0.0,No,Urban,24,20002.519677587174
21.0,5.0,Sunny,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,15,20002.519677587174
32.0,4.9,Sunny,Low,2,Snack,scooter,1.0,No,Metropolitian,19,20002.519677587174
39.0,4.6,Fog,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,43,20002.519677587174
33.0,4.6,Cloudy,Jam,1,Meal,motorcycle,1.0,No,Urban,40,20002.51967755898
31.0,4.9,Sandstorms,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,46,20002.51967755898
32.0,4.3,Cloudy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,32,20002.51967755898
31.0,4.8,Fog,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,27,20002.519677558088
37.0,4.7,Cloudy,High,2,Snack,motorcycle,1.0,No,Urban,37,20002.519677558088
28.0,4.8,Stormy,Jam,2,Drinks,electric_scooter,0.0,No,Metropolitian,14,20002.519677541513
24.0,4.7,Windy,Medium,1,Meal,motorcycle,1.0,No,Urban,25,20002.519677541513
50.0,6.0,,,3,Drinks,electric_scooter,1.0,No,Metropolitian,19,20002.519677541513
39.0,4.9,Stormy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,25,20002.519677506636
25.0,4.7,Sandstorms,Low,1,Drinks,scooter,0.0,No,Urban,10,20002.519677506636
22.0,4.7,Sunny,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,22,20002.51967749903
35.0,4.7,Sunny,Jam,2,Meal,scooter,1.0,No,Metropolitian,25,20002.51967749903
20.0,4.6,Windy,Medium,0,Meal,motorcycle,0.0,No,Metropolitian,26,20002.51967740261
20.0,4.9,Sunny,Low,1,Meal,scooter,0.0,No,Metropolitian,28,20002.519677389755
27.0,4.8,Stormy,Low,2,Snack,motorcycle,1.0,No,Metropolitian,19,20002.519677389755
27.0,4.8,Cloudy,Medium,2,Meal,electric_scooter,0.0,No,Metropolitian,19,20002.519677365508
28.0,4.5,Sandstorms,Low,2,Snack,electric_scooter,1.0,No,Urban,13,20002.519677365508
26.0,4.9,Fog,Low,2,Meal,electric_scooter,0.0,No,Metropolitian,28,20002.519677365508
37.0,4.3,Stormy,High,0,Meal,motorcycle,1.0,No,Urban,35,20002.519677338983
,,Stormy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,13,20002.519677338983
20.0,4.9,Windy,Low,1,Snack,scooter,1.0,No,Metropolitian,12,20002.519677330467
38.0,4.8,Sunny,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,44,20002.519677330467
27.0,4.7,Cloudy,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,32,20002.51967732275
29.0,4.7,Stormy,Medium,2,Meal,scooter,1.0,No,Urban,24,20002.51967732275
31.0,4.5,Cloudy,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,43,20002.51967732275
20.0,4.7,Stormy,Low,2,Drinks,scooter,1.0,No,Metropolitian,16,20002.51967732275
35.0,4.7,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Urban,26,20002.51967666357
36.0,4.5,Sunny,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,22,20002.51967666357
30.0,4.1,Windy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,34,20002.51967666357
21.0,4.5,Sandstorms,Medium,0,Buffet,motorcycle,1.0,No,Urban,16,20002.519676162334
32.0,4.9,Windy,Medium,1,Meal,motorcycle,0.0,No,Metropolitian,29,20002.519676162334
31.0,4.6,Sandstorms,Low,1,Drinks,scooter,1.0,No,Metropolitian,29,20002.519669538724
26.0,4.8,Windy,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,25,20002.519669538724
21.0,4.8,Cloudy,Low,0,Drinks,motorcycle,1.0,No,Urban,16,20002.519669538724
39.0,4.6,Cloudy,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,35,20002.519669538724
35.0,4.0,Fog,Low,0,Snack,motorcycle,2.0,No,Metropolitian,43,20002.519669538724
28.0,4.7,Fog,Jam,0,Drinks,motorcycle,0.0,No,Urban,26,20002.519669538724
27.0,4.8,Windy,Low,2,Meal,scooter,0.0,No,Metropolitian,16,20002.519669538724
30.0,4.7,Cloudy,Jam,2,Snack,scooter,1.0,No,Metropolitian,27,20002.519669538724
39.0,4.1,Sunny,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,32,20002.519669538724
20.0,4.8,Stormy,Low,1,Meal,scooter,1.0,No,Metropolitian,13,20002.519669538724
26.0,4.6,Sunny,Jam,2,Drinks,scooter,0.0,No,Metropolitian,20,20002.519669538724
27.0,4.6,Windy,Medium,0,Snack,motorcycle,1.0,No,Urban,21,20002.519669522673
39.0,4.9,Sandstorms,Medium,2,Buffet,scooter,0.0,No,Metropolitian,25,20002.519669522673
20.0,4.0,Fog,Jam,2,Drinks,electric_scooter,0.0,No,Metropolitian,35,20002.519669522673
32.0,4.7,Sandstorms,High,1,Drinks,scooter,1.0,No,Urban,33,20002.519669522673
23.0,5.0,Sunny,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,32,20002.519669522673
35.0,4.8,Windy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,44,20002.519669522673
20.0,4.9,Sunny,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,19,20002.519669522673
,,Windy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,26,20002.519669522673
30.0,4.5,Sunny,High,2,Meal,scooter,0.0,No,Metropolitian,17,20002.519669522673
30.0,4.5,Windy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,28,20002.519669522673
32.0,4.8,Fog,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,25,20002.519669522673
34.0,4.5,Stormy,Low,1,Buffet,scooter,1.0,No,Metropolitian,24,20002.519669522673
29.0,4.5,Sunny,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,18,20002.51966950905
22.0,4.6,Windy,Low,1,Buffet,motorcycle,1.0,No,Urban,19,20002.51966950905
38.0,4.9,Sandstorms,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,26,20002.51966950905
28.0,4.8,Cloudy,Low,2,Buffet,scooter,1.0,No,Metropolitian,29,20002.51966950905
38.0,4.1,Windy,Medium,2,Buffet,scooter,1.0,No,Metropolitian,39,20002.51966950905
34.0,4.5,Windy,Low,1,Drinks,motorcycle,0.0,No,Metropolitian,20,20002.51966950905
24.0,4.8,Sunny,Jam,0,Meal,motorcycle,0.0,No,Metropolitian,26,20002.51966950905
39.0,4.9,Windy,High,2,Snack,scooter,1.0,No,Metropolitian,28,20002.51966950905
23.0,4.8,Cloudy,Low,1,Buffet,scooter,1.0,No,Urban,10,20002.51966950905
25.0,4.6,Sandstorms,Jam,2,Snack,scooter,0.0,No,Metropolitian,16,20002.519669463916
31.0,4.7,Windy,Jam,2,Snack,motorcycle,1.0,No,Urban,28,20002.519669463916
35.0,3.8,Stormy,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,42,20002.519669463916
31.0,4.8,Windy,Jam,2,Buffet,scooter,0.0,No,Metropolitian,29,20002.519669463916
32.0,4.7,Windy,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,17,20002.519669463916
35.0,4.8,Sunny,Medium,2,Buffet,electric_scooter,1.0,No,Metropolitian,20,20002.519669463916
36.0,4.3,Windy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,27,20002.519669456215
33.0,4.1,Cloudy,Medium,1,Buffet,scooter,1.0,No,Metropolitian,34,20002.519669456215
35.0,4.3,Fog,Jam,1,Buffet,motorcycle,0.0,No,Metropolitian,39,20002.519669456215
,,,,3,Buffet,electric_scooter,0.0,No,Metropolitian,18,20002.519669456215
38.0,4.8,Cloudy,Jam,1,Snack,scooter,1.0,No,Metropolitian,26,20002.519669456215
38.0,4.6,Sunny,Jam,2,Buffet,scooter,1.0,No,Metropolitian,27,20002.519669456215
,,Stormy,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,19,20002.519669456215
22.0,4.9,Fog,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,21,20002.519669456215
,,,,3,Buffet,motorcycle,1.0,No,Metropolitian,28,20002.519669456215
34.0,4.0,Sandstorms,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,36,20002.519669456215
29.0,5.0,Windy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,35,20002.519669456215
28.0,4.9,Stormy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,26,20002.519669456215
23.0,4.9,Windy,Jam,2,Buffet,motorcycle,0.0,No,Metropolitian,25,20002.519669456215
37.0,4.7,Fog,Jam,1,Buffet,motorcycle,0.0,No,Urban,37,20002.519669439615
29.0,4.8,Windy,Medium,2,Snack,electric_scooter,1.0,No,Metropolitian,25,20002.519669439615
31.0,5.0,Stormy,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,27,20002.519669439615
39.0,4.7,Fog,Jam,2,Meal,electric_scooter,3.0,Yes,Semi-Urban,49,20002.519669439615
25.0,4.6,Stormy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,23,20002.519669439615
20.0,4.6,Sandstorms,Jam,2,Meal,scooter,1.0,No,Metropolitian,23,20002.519669439615
31.0,4.7,Sunny,Jam,1,Buffet,scooter,1.0,No,Metropolitian,26,20002.519669439615
25.0,4.9,Sunny,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,15,20002.519669439615
36.0,4.6,Cloudy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,44,20002.519669439615
25.0,3.4,Sunny,Low,2,Snack,electric_scooter,0.0,No,Metropolitian,32,20002.519669439615
22.0,4.9,Windy,High,1,Buffet,motorcycle,1.0,No,Urban,11,20002.51966942688
32.0,4.7,Fog,Jam,2,Meal,scooter,1.0,No,Metropolitian,33,20002.51966942688
21.0,4.7,Sandstorms,Jam,2,Buffet,scooter,1.0,No,Metropolitian,28,20002.51966942688
28.0,4.6,Cloudy,Low,2,Snack,scooter,0.0,No,Urban,15,20002.51966942688
21.0,4.7,Sunny,Medium,2,Buffet,motorcycle,1.0,No,Metropolitian,14,20002.51966942688
23.0,4.9,Stormy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,21,20002.51966942688
34.0,4.5,Sunny,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,29,20002.51966942688
39.0,4.7,Fog,Medium,1,Meal,scooter,,No,Metropolitian,19,20002.51966942688
24.0,5.0,Cloudy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,41,20002.51966942688
36.0,4.8,Sunny,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,28,20002.51966942688
28.0,4.6,Cloudy,Low,2,Meal,electric_scooter,1.0,No,Urban,12,20002.519669412868
27.0,4.7,Fog,Medium,1,Buffet,scooter,1.0,No,Urban,15,20002.519669412868
30.0,4.6,Sunny,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,27,20002.519669412868
20.0,4.8,Sunny,Low,0,Meal,motorcycle,1.0,No,Metropolitian,19,20002.519669412868
27.0,4.6,Sandstorms,Medium,1,Snack,scooter,1.0,No,Metropolitian,20,20002.519669412868
35.0,4.6,Windy,Medium,0,Snack,motorcycle,1.0,No,Urban,38,20002.519669412868
27.0,4.6,Cloudy,Low,0,Snack,motorcycle,0.0,No,Urban,21,20002.519669412868
26.0,4.9,Windy,Medium,2,Meal,motorcycle,1.0,No,Metropolitian,21,20002.519669412868
39.0,4.6,Sandstorms,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,28,20002.519669412868
30.0,4.8,Sandstorms,Medium,2,Drinks,electric_scooter,0.0,No,Metropolitian,30,20002.519669412868
34.0,4.5,Windy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,17,20002.519669412868
23.0,4.7,Fog,Jam,0,Snack,motorcycle,2.0,No,Urban,47,20002.519669412868
32.0,4.7,Stormy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,36,20002.51966940045
30.0,4.8,Stormy,Jam,2,Buffet,electric_scooter,0.0,No,Metropolitian,30,20002.51966940045
28.0,4.5,Fog,High,0,Buffet,motorcycle,1.0,No,Metropolitian,24,20002.51966940045
30.0,4.5,Fog,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,28,20002.51966940045
39.0,4.6,Fog,Jam,1,Drinks,motorcycle,2.0,No,Metropolitian,38,20002.51966940045
24.0,4.9,Cloudy,Jam,2,Snack,electric_scooter,1.0,No,Urban,26,20002.51966940045
32.0,4.6,Fog,Medium,2,Drinks,motorcycle,2.0,No,Urban,43,20002.51966940045
21.0,4.5,Fog,Low,0,Snack,motorcycle,0.0,No,Urban,19,20002.51966940045
33.0,4.4,Cloudy,Jam,1,Snack,scooter,1.0,No,Metropolitian,42,20002.51966940045
27.0,4.7,Windy,Low,1,Meal,motorcycle,,No,Metropolitian,12,20002.51966940045
35.0,4.0,Windy,High,1,Meal,scooter,1.0,No,Metropolitian,33,20002.51966940045
21.0,4.8,Sandstorms,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,26,20002.51966940045
21.0,4.9,Stormy,Medium,2,Drinks,scooter,0.0,No,Metropolitian,22,20002.51966940045
30.0,4.8,Sunny,High,2,Meal,scooter,1.0,No,Metropolitian,21,20002.519669398112
39.0,4.8,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,35,20002.519669398112
31.0,4.5,Windy,Low,1,Snack,motorcycle,1.0,No,Metropolitian,16,20002.519669398112
22.0,4.6,Cloudy,Low,0,Buffet,motorcycle,1.0,No,Urban,20,20002.519669398112
32.0,4.6,Sunny,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,29,20002.519669398112
36.0,4.8,Windy,Medium,2,Meal,electric_scooter,1.0,No,Urban,28,20002.519669398112
34.0,4.0,Fog,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,35,20002.519669398112
33.0,4.5,Windy,Medium,1,Buffet,motorcycle,0.0,No,Urban,21,20002.519669398112
31.0,3.8,Sandstorms,Jam,2,Snack,scooter,2.0,No,Metropolitian,35,20002.519669398112
31.0,4.5,Fog,Low,1,Drinks,scooter,1.0,No,Urban,15,20002.519669398112
24.0,4.7,Stormy,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,27,20002.519669398112
39.0,4.5,Stormy,Medium,1,Drinks,scooter,1.0,No,Urban,30,20002.519669398112
35.0,4.6,Windy,Low,2,Snack,motorcycle,1.0,No,Urban,23,20002.519669398112
23.0,4.6,Sandstorms,Jam,2,Meal,scooter,1.0,No,Metropolitian,28,20002.519669398112
26.0,4.3,Sandstorms,Low,0,Meal,motorcycle,0.0,No,Metropolitian,20,20002.5196693537
20.0,4.9,Windy,Low,1,Meal,scooter,0.0,No,Metropolitian,13,20002.5196693537
35.0,4.4,Cloudy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,31,20002.5196693537
28.0,4.7,Windy,High,2,Buffet,motorcycle,1.0,No,Metropolitian,14,20002.5196693537
